stationReference,stationName,latitude,longitude,easting,northing
3057,Rainfall station,52.730505,-1.571247,429050.56911829876,314848.9151771554
3096,Rainfall station,52.615214,-2.152813,389750.54252788244,301948.9709068831
3099,Rainfall station,52.807639,-1.889433,407550.54909716116,323348.95275786216
3100,Rainfall station,52.830414,-1.607371,426550.5426783151,325948.9075652382
3165,Rainfall station,52.399545,-2.050654,396650.55221279856,277949.0865874824
3167,Rainfall station,52.419334,-1.990391,400750.5436125924,280149.1155723785
3173,Rainfall station,53.017139,-1.981319,401350.5158057008,346648.90192909073
3178,Rainfall station,52.999107,-1.06794,462650.55699921306,345048.8890892003
3179,Rainfall station,52.69041,-0.920654,473050.5437278152,310848.9603585409
3185,Rainfall station,52.407451,-1.784594,414750.56759696855,278849.05367838265
3198,Rainfall station,52.530102,-1.383041,441950.5758546354,292649.0615525631
3201,Rainfall station,52.579333,-1.532878,431750.51957743714,298049.02026945964
3275,Rainfall station,52.635078,-1.944539,403850.5551776288,304149.0310704987
3288,Rainfall station,52.542109,-1.696942,420650.521565623,293849.0553072561
3307,Rainfall station,53.196879,-1.901908,406650.559300773,366648.75816818036
3323,Rainfall station,53.025808,-1.723384,418650.5505425261,347648.8419994796
3346,Rainfall station,52.95331,-2.040883,397350.54689070553,339548.8930103114
3347,Rainfall station,52.905076,-2.37685,374750.5645232909,334248.9523504069
3349,Rainfall station,52.901997,-1.860947,409450.52898263035,333848.8718439319
3380,Rainfall station,53.405172,-1.738982,417450.53133304924,389848.70613298117
3404,Rainfall station,53.287863,-1.579192,428150.5492934237,376848.7063649163
340767,Rainfall station,50.968137,-1.918056,405850.540112649,118749.70929071568
3441,Rainfall station,53.134445,-1.432716,438050.55938777415,359848.80248918844
3570,Rainfall station,53.029694,-1.914215,405850.57388427475,348048.8503820925
3571,Rainfall station,53.105132,-2.154547,389750.52407963364,356448.82826183597
3572,Rainfall station,53.311933,-1.898644,406850.5198141635,379448.79420501634
3574,Rainfall station,52.897659,-1.359998,443150.53216056793,333548.9027821194
3576,Rainfall station,53.093957,-1.658736,422950.5617961677,355248.78338646307
3580,Rainfall station,53.047163,-1.641206,424150.5192466431,350048.8788984215
3588,Rainfall station,52.958861,-1.577925,428450.55828800646,340248.8728813858
3601,Rainfall station,53.231399,-0.806723,479750.5617586882,371148.7952502304
3602,Rainfall station,52.813347,-0.803365,480750.534494471,324648.9416479233
3603,Rainfall station,53.079174,-0.867665,475950.5267053116,354148.8722860962
3604,Rainfall station,53.223303,-1.115505,459150.53685785615,369948.8219259204
3610,Rainfall station,52.655516,-1.302927,447250.5397015986,306648.95955746865
3611,Rainfall station,53.485476,-0.775492,481350.53447958955,399448.696440868
