stationReference,stationName,latitude,longitude,maxOnRecord,minOnRecord,typicalRangeHigh,typicalRangeLow,easting,northing
4155,Colston Bassett,52.896019,-0.962231,2.909,0.464,1.7000000000000002,0.492,469910.5356086015,333678.84993117384
4158,Glenfield,52.648317,-1.215391,2.411,0.6900000000000001,1.15,0.76,453180.5228174675,305909.02237087
4159,Blythe Bridge,52.970005,-2.073464,1.661,0.205,0.94,0.261,395163.50904122234,341407.8680392879
4159TH,Carshalton Ponds,51.367034,-0.162812,0.5660000000000001,-0.126,0.425,0.047,527990.5562894162,164709.47612864774
4161,Great Glen,52.574167,-1.035067,3.14,0.76,1.22,0.77,465490.5664379919,297809.0812620331
4163,Day Brook,52.986245,-1.163701,1.364,0.015,0.95,0.033,456240.561147017,343538.9124938471
4164,Ordsall,53.308371,-0.942655,1.653,0.056,0.85,0.19,470550.5609259625,379568.7895543934
4165,Brookhouse Farm,53.083974,-2.178955,1.5470000000000002,0.149,0.95,0.189,388110.5421468426,354098.8804236076
4165TH,Hackbridge,51.377064,-0.160112,2.02,1.176,1.935,1.272,528150.5141654125,165829.53973795762
4166,Sutton Mill,52.899788,-1.657587,1.775,0.511,1.5,0.578,423130.517349031,333648.92721637554
4167,Packington,52.726224,-1.468529,2.1,0.144,1.2,0.173,435990.51192751905,314418.9327958534
4168,Horsebottoms,52.893044,-1.72631,2.209,0.249,1.8,0.274,418510.55655001325,332878.89935228956
4169,Hoar Cross,52.780092,-1.792694,1.91,0.159,1.4,0.189,414080.5621541586,320298.98415640974
4170,Deepmore Farm,52.671341,-2.108289,1.969,0.113,0.91,0.186,392774.5507264662,308186.9722473197
4171,Croxall LVL,52.731408,-1.705184,2.066,0.05,1.25,0.151,420005.50923669996,314903.9486628647
4172,Solihull Lodge,52.397668,-1.853805,1.929,0.151,0.418,0.162,410044.5161218454,277749.09951562935
4173,Temple Mill,52.62825,-1.47564,1.788,0.17,1.25,0.235,435589.5465540352,303517.00759057974
4173TH,River Wandle at Ravensbury Mill ,51.398338,-0.183625,2.066,0.05,1.25,0.151,526455.5477708073,168154.45570600586
4174,Freemans Weir,52.619792,-1.146475,0.5680000000000001,0.05,0.47,0.173,457880.56406443677,302789.0163900752
4175,Clifton Hall,52.698639,-1.610921,2.353,0.082,1.48,0.118,426390.5612479672,311288.96689537086
