dateTime,stationReference,parameter,qualifier,unitName,value
2023-10-20T13:30:00Z,1923TH,level,Stage,mASD,1.052
2023-10-20T13:30:00Z,2255,level,Stage,mASD,0.706
2023-10-20T13:30:00Z,3635TH,level,Stage,mASD,1.963
2023-10-20T13:30:00Z,2915,level,Stage,mASD,2.759
2023-10-20T13:30:00Z,261923TP,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,5380TH,level,Stage,mASD,0.540
2023-10-20T13:30:00Z,290200TP,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,2549,level,Stage,mASD,0.431
2023-10-20T13:30:00Z,5442TH,level,Stage,mASD,0.983
2023-10-20T13:30:00Z,2702TH,level,Downstream Stage,mASD,2.886
2023-10-20T13:30:00Z,2896TH,level,Downstream Stage,mASD,0.017
2023-10-20T13:30:00Z,E2420,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,4183,level,Stage,mASD,2.192
2023-10-20T13:30:00Z,4019,level,Stage,mASD,2.276
2023-10-20T13:30:00Z,E45881,rainfall,Tipping Bucket Raingauge,mm,0.400
2023-10-20T13:30:00Z,3235TH,level,Stage,mASD,3.049
2023-10-20T13:30:00Z,4189TH,level,Downstream Stage,mASD,0.000
2023-10-20T13:30:00Z,E4330,level,Stage,mASD,0.175
2023-10-20T13:30:00Z,E3474,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,2034,level,Stage,mASD,1.480
2023-10-20T13:30:00Z,4164,level,Stage,mASD,0.824
2023-10-20T13:30:00Z,1801TH,level,Downstream Stage,mASD,2.643
2023-10-20T13:30:00Z,E7061,level,Stage,mASD,0.576
2023-10-20T13:30:00Z,2700,level,Stage,mASD,10.620
2023-10-20T13:30:00Z,4391TH,level,Stage,mASD,0.273
2023-10-20T13:30:00Z,1040,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,570788,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,E14940,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,277407TP,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,3179,rainfall,Tipping Bucket Raingauge,mm,0.2
2023-10-20T13:30:00Z,E15500,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,043533,rainfall,Tipping Bucket Raingauge,mm,0.8
2023-10-20T13:30:00Z,1995TH,level,Stage,mASD,0.076
2023-10-20T13:30:00Z,E8040,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,E4823,level,Stage,mASD,0.843
2023-10-20T13:30:00Z,E72239,level,Tidal Level,mAOD,-0.831
2023-10-20T13:30:00Z,1201TH,level,Stage,mASD,0.085
2023-10-20T13:30:00Z,586493,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,E15260,level,Stage,mASD,0.291
2023-10-20T13:30:00Z,E10368,level,Stage,mASD,0.324
2023-10-20T13:30:00Z,4126,level,Stage,mASD,2.296
2023-10-20T13:30:00Z,2830TH,level,Downstream Stage,mASD,-0.284
2023-10-20T13:30:00Z,1414TH,level,Stage,mASD,1.910
2023-10-20T13:30:00Z,2879_w2TH,level,Downstream Stage,mASD,0.047
2023-10-20T13:30:00Z,4387TH,level,Stage,mAOD,22.610
2023-10-20T13:30:00Z,558491,rainfall,Tipping Bucket Raingauge,mm,0.6
2023-10-20T13:30:00Z,5518TH,level,Stage,mASD,0.379
2023-10-20T13:30:00Z,074924,rainfall,Tipping Bucket Raingauge,mm,0.8
2023-10-20T13:30:00Z,2261,level,Stage,mASD,0.939
2023-10-20T13:30:00Z,E642,level,Stage,mASD,0.804
2023-10-20T13:30:00Z,L3211,level,Downstream Stage,mASD,1.207
2023-10-20T13:30:00Z,5546TH,level,Stage,mASD,1.170
2023-10-20T13:30:00Z,239579TP,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,E8221,level,Stage,mASD,0.637
2023-10-20T13:30:00Z,E670,level,Stage,mASD,1.333
2023-10-20T13:30:00Z,290578TP,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,E73039,level,Tidal Level,mAOD,-0.496
2023-10-20T13:30:00Z,013045,rainfall,Tipping Bucket Raingauge,mm,0.2
2023-10-20T13:30:00Z,2937TH,level,Stage,mASD,1.671
2023-10-20T13:30:00Z,E1976,rainfall,Tipping Bucket Raingauge,mm,1.000
2023-10-20T13:30:00Z,2254TH,level,Stage,mASD,1.154
2023-10-20T13:30:00Z,2091,level,Stage,mASD,1.791
2023-10-20T13:30:00Z,2901TH,level,Downstream Stage,mASD,3.160
2023-10-20T13:15:00Z,46160,rainfall,Tipping Bucket Raingauge,mm,0.000
2023-10-20T13:30:00Z,3642,rainfall,Tipping Bucket Raingauge,mm,0.2
2023-10-20T13:30:00Z,2094,level,Stage,mASD,2.627
2023-10-20T13:30:00Z,E21609,level,Stage,mASD,0.448
2023-10-20T13:30:00Z,E5670,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,E7130,rainfall,Tipping Bucket Raingauge,mm,0.800
2023-10-20T13:30:00Z,4040,level,Downstream Stage,mASD,0.685
2023-10-20T13:30:00Z,4123,level,Stage,mASD,1.824
2023-10-20T13:30:00Z,2223,level,Stage,mASD,0.581
2023-10-20T13:30:00Z,E8480,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,4079,level,Stage,mASD,1.111
2023-10-20T13:30:00Z,2486TH,level,Stage,mASD,0.833
2023-10-20T13:30:00Z,5112TH,level,Stage,mASD,0.981
2023-10-20T13:30:00Z,4180,level,Stage,mASD,1.550
2023-10-20T13:30:00Z,3056TH,level,Stage,mASD,0.805
2023-10-20T13:30:00Z,3075TH,level,Stage,mASD,0.878
2023-10-20T13:30:00Z,1770,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,4730TH,level,Stage,mASD,0.077
2023-10-20T13:30:00Z,264845TP,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,E11350,level,Stage,mASD,1.143
2023-10-20T13:30:00Z,4155,level,Stage,mASD,1.829
2023-10-20T13:30:00Z,2052,level,1,mASD,1.082
2023-10-20T13:30:00Z,E5660,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,2003TH,level,Stage,mASD,0.053
2023-10-20T13:30:00Z,550148,rainfall,Tipping Bucket Raingauge,mm,0.6
2023-10-20T13:30:00Z,E19031,level,Stage,mASD,1.858
2023-10-20T13:30:00Z,080282,rainfall,Tipping Bucket Raingauge,mm,1.2
2023-10-20T13:30:00Z,4389TH,level,Stage,mASD,0.234
2023-10-20T13:30:00Z,E7071,level,Stage,mASD,0.452
2023-10-20T13:30:00Z,2024,level,Stage,mASD,0.442
2023-10-20T13:30:00Z,5378TH,level,Stage,mASD,1.166
2023-10-20T13:30:00Z,E10500,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,2569TH,level,Downstream Stage,mASD,-0.090
2023-10-20T13:30:00Z,E13580,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,4815,level,Stage,mASD,1.175
2023-10-20T13:30:00Z,SE730,level,Stage,mASD,0.274
2023-10-20T13:30:00Z,3850TH,level,Stage,mASD,0.604
